Feature,Importance
"line41 x start, line41 y end",0.0031525096493662387
"line41 x end, line41 y start",0.0
"line41 x end, line41 y end",0.0021872827379428774
"line42 x start, line42 y start",0.0
"line42 x start, line42 y end",0.00384865963236339
"line42 x end, line42 y start",0.0
"line42 x end, line42 y end",0.001753207213604262
"line43 x start, line43 y start",0.0
"line43 x start, line43 y end",0.001730249133302272
"line43 x end, line43 y start",0.0
"line43 x end, line43 y end",0.008229617833888448
"line44 x start, line44 y start",0.0
"line44 x start, line44 y end",0.004249349647388171
"line44 x end, line44 y start",0.0
"line44 x end, line44 y end",0.004665447573966579
"line45 x start, line45 y start",0.0
"line45 x start, line45 y end",0.0015456303835914406
"line45 x end, line45 y start",0.0
"line45 x end, line45 y end",0.004817812462339363
"line46 x start, line46 y start",0.0
"line46 x start, line46 y end",0.0024795693817489255
"line46 x end, line46 y start",0.0
"line46 x end, line46 y end",0.0031649790982689685
"line47 x start, line47 y start",0.0
"line47 x start, line47 y end",0.0018656053603221799
"line47 x end, line47 y start",0.0
"line47 x end, line47 y end",0.004570096389317038
"line48 x start, line48 y start",0.0
"line48 x start, line48 y end",0.005067123045356684
"line48 x end, line48 y start",0.0
"line48 x end, line48 y end",0.0011059978124019338
"line49 x start, line49 y start",0.0
"line49 x start, line49 y end",0.0053555585068549095
"line49 x end, line49 y start",0.0
"line49 x end, line49 y end",0.002873270948110395
"line50 x start, line50 y start",0.0
"line50 x start, line50 y end",0.0035979942235474893
"line50 x end, line50 y start",0.0
"line50 x end, line50 y end",0.0046857178288950444
"line51 x start, line51 y start",0.0
"line51 x start, line51 y end",0.004357504590569451
"line51 x end, line51 y start",0.0
"line51 x end, line51 y end",0.001649859304861815
"line52 x start, line52 y start",0.0
"line52 x start, line52 y end",0.0030161591390911635
"line52 x end, line52 y start",0.0
"line52 x end, line52 y end",0.0017285491531758396
"line53 x start, line53 y start",0.0
"line53 x start, line53 y end",0.002475719458758404
"line53 x end, line53 y start",0.0
"line53 x end, line53 y end",0.0018340774708902536
"line54 x start, line54 y start",0.0
"line54 x start, line54 y end",0.00324236622778061
"line54 x end, line54 y start",0.0
"line54 x end, line54 y end",0.0024474099781507446
"line55 x start, line55 y start",0.0
"line55 x start, line55 y end",0.001891102100116576
"line55 x end, line55 y start",0.0
"line55 x end, line55 y end",0.0023003395474540562
"line56 x start, line56 y start",0.0
"line56 x start, line56 y end",0.0021918294340858234
"line56 x end, line56 y start",0.0
"line56 x end, line56 y end",0.0014411329171510573
"line57 x start, line57 y start",0.0
"line57 x start, line57 y end",0.00304375830947573
"line57 x end, line57 y start",0.0
"line57 x end, line57 y end",0.001347282952353951
"line58 x start, line58 y start",0.0
"line58 x start, line58 y end",8.984973406544227e-05
"line58 x end, line58 y start",0.0
"line58 x end, line58 y end",0.0015855308171786326
"line59 x start, line59 y start",0.0
"line59 x start, line59 y end",0.0022367687411438473
"line59 x end, line59 y start",0.0
"line59 x end, line59 y end",0.0011640138925685163
"line60 x start, line60 y start",0.0
"line60 x start, line60 y end",0.0008740062652720826
"line60 x end, line60 y start",0.0
"line60 x end, line60 y end",0.000728943394436109
"line61 x start, line61 y start",0.0
"line61 x start, line61 y end",0.0016128446431879584
"line61 x end, line61 y start",0.0
"line61 x end, line61 y end",0.0007194814514706317
"line62 x start, line62 y start",0.0
"line62 x start, line62 y end",0.00099531284591648
"line62 x end, line62 y start",0.0
"line62 x end, line62 y end",0.003056780225083166
"line63 x start, line63 y start",0.0
"line63 x start, line63 y end",0.002261511042450777
"line63 x end, line63 y start",0.0
"line63 x end, line63 y end",0.0030917239185848204
"line64 x start, line64 y start",0.0
"line64 x start, line64 y end",0.000772235316045167
"line64 x end, line64 y start",0.0
"line64 x end, line64 y end",0.0010239615974606054
"line65 x start, line65 y start",0.0
"line65 x start, line65 y end",0.0020472410362062034
"line65 x end, line65 y start",0.0
"line65 x end, line65 y end",5.576654968511126e-05
"line66 x start, line66 y start",0.0
"line66 x start, line66 y end",0.0031029354128158894
"line66 x end, line66 y start",0.0
"line66 x end, line66 y end",0.002032359035467151
"line67 x start, line67 y start",0.0
"line67 x start, line67 y end",0.0015350425602337478
"line67 x end, line67 y start",0.0
"line67 x end, line67 y end",0.0024086995148996774
"line68 x start, line68 y start",0.0
"line68 x start, line68 y end",0.002126216749743305
"line68 x end, line68 y start",0.0
"line68 x end, line68 y end",0.0020779570469581688
"line69 x start, line69 y start",0.0
"line69 x start, line69 y end",0.002552724222703776
"line69 x end, line69 y start",0.0
"line69 x end, line69 y end",0.002607310209947375
"line70 x start, line70 y start",0.0
"line70 x start, line70 y end",0.000555549769991239
"line70 x end, line70 y start",0.0
"line70 x end, line70 y end",0.0012105838159842672
"line71 x start, line71 y start",0.0
"line71 x start, line71 y end",0.0028847265597964134
"line71 x end, line71 y start",0.0
"line71 x end, line71 y end",0.0019769392989132093
"line72 x start, line72 y start",0.0
"line72 x start, line72 y end",0.0013954265537897798
"line72 x end, line72 y start",0.0
"line72 x end, line72 y end",0.0014367192979284876
"line73 x start, line73 y start",0.0
"line73 x start, line73 y end",0.000661276111407226
"line73 x end, line73 y start",0.0
"line73 x end, line73 y end",0.0020276429255735775
"line74 x start, line74 y start",0.0
"line74 x start, line74 y end",0.0024745500507987474
"line74 x end, line74 y start",0.0
"line74 x end, line74 y end",0.003474738688598093
